station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Dhaka,SARIMA+SVR,2024-01-01,25.35656822737769,23.32265255370362,27.39773318492571,25.354344383775015,23.53302864104479,27.17566012650524
Dhaka,SARIMA+SVR,2024-02-01,28.98862384432038,26.95470817064631,31.0297888018684,28.929364821694193,27.015958505200846,30.84277113818754
Dhaka,SARIMA+SVR,2024-03-01,33.21259631729338,31.178680643619312,35.2537612748414,32.99495596154101,31.047234245811232,34.94267767727079
Dhaka,SARIMA+SVR,2024-04-01,34.59282395280268,32.558908279128616,36.6339889103507,34.62966904714079,32.66888794959481,36.59045014468676
Dhaka,SARIMA+SVR,2024-05-01,34.474478280999286,32.44056260732522,36.515643238547305,34.22744455510867,32.2616556288232,36.19323348139414
Dhaka,SARIMA+SVR,2024-06-01,33.455044622695304,31.421128949021234,35.496209580243324,33.40949236120358,31.44177762744524,35.377207094961925
Dhaka,SARIMA+SVR,2024-07-01,33.050737251791716,31.016821578117646,35.091902209339736,32.92590840594906,30.95745228163603,34.89436453026209
Dhaka,SARIMA+SVR,2024-08-01,33.26632590333113,31.23241022965706,35.30749086087915,33.03442821292458,31.065686556295173,35.00316986955399
Dhaka,SARIMA+SVR,2024-09-01,33.43230811484491,31.398392441170838,35.47347307239293,33.22115015274515,31.252298523231488,35.19000178225882
Dhaka,SARIMA+SVR,2024-10-01,32.80399712464428,30.770081450970213,34.8451620821923,32.583791826950076,30.614897869969067,34.55268578393108
Dhaka,SARIMA+SVR,2024-11-01,30.513243952017845,28.479328278343775,32.554408909565865,30.385526198959067,28.416616031294573,32.35443636662356
Dhaka,SARIMA+SVR,2024-12-01,26.610327890126328,24.57641221645226,28.651492847674348,26.517422185696812,24.54850602033037,28.486338351063253
Dhaka,SARIMA+SVR,2025-01-01,25.352400045586208,23.318484371912138,27.393565003134228,25.230330633146004,23.255486423173316,27.20517484311869
Dhaka,SARIMA+SVR,2025-02-01,28.96728275631388,26.933367082639812,31.0084477138619,28.861612576737794,26.886131255107408,30.83709389836818
Dhaka,SARIMA+SVR,2025-03-01,33.08602359819665,31.052107924522577,35.12718855574467,32.96212387839424,30.98639717162681,34.93785058516167
Dhaka,SARIMA+SVR,2025-04-01,34.76877212674135,32.73485645306728,36.809937084289366,34.61851106756149,32.642689837218974,36.59433229790401
Dhaka,SARIMA+SVR,2025-05-01,34.37966117728387,32.345745503609805,36.42082613483189,34.22973916970734,32.253881526752075,36.2055968126626
Dhaka,SARIMA+SVR,2025-06-01,33.631094045004566,31.597178371330497,35.672259002552586,33.42013667707379,31.444265007559025,35.39600834658856
Dhaka,SARIMA+SVR,2025-07-01,33.175956196014454,31.142040522340384,35.21712115356247,32.94173518034004,30.96585810937017,34.91761225130991
Dhaka,SARIMA+SVR,2025-08-01,33.30266695982649,31.26875128615242,35.34383191737451,33.053471614527254,31.0775924681387,35.02935076091581
Dhaka,SARIMA+SVR,2025-09-01,33.482143332480106,31.448227658806037,35.523308290028126,33.24219003740263,31.266310105569005,35.218069969236254
Dhaka,SARIMA+SVR,2025-10-01,32.81051922020801,30.776603546533938,34.85168417775603,32.606070880564914,30.6301906827113,34.58195107841853
Dhaka,SARIMA+SVR,2025-11-01,30.57621153581344,28.54229586213937,32.61737649336146,30.4085743749069,28.43269416948403,32.38445458032977
Dhaka,SARIMA+SVR,2025-12-01,26.66957802662857,24.6356623529545,28.71074298417659,26.540947737356483,24.56506777538967,28.516827699323294
Dhaka,SARIMA+SVR,2026-01-01,25.364756861270877,23.330841187596807,27.405921818818896,25.254152480414938,23.272581270733838,27.235723690096037
