date,station,origin,actual,SNAIVE,SARIMA,LSTM,SARIMA+LSTM
2012-01-01,Dhaka,2011,24.05,23.45,24.368450981773847,23.777919926643374,24.316711292063285
2012-02-01,Dhaka,2011,28.51,28.73,28.152264961009465,28.4036194562912,28.107443210115235
2012-03-01,Dhaka,2011,33.0,32.08,32.46861177496765,32.3240835505724,32.39190794146944
2012-04-01,Dhaka,2011,33.51,33.47,34.2678449176615,34.36783793330193,34.21545300161604
2012-05-01,Dhaka,2011,34.63,33.4,33.58991886479078,33.09942101299763,33.54359014346067
2012-06-01,Dhaka,2011,33.2,32.63,32.98709722401873,32.5235633045435,32.96617852592766
2012-07-01,Dhaka,2011,32.56,32.32,32.29879046942162,32.14431085526944,32.3025921279754
2012-08-01,Dhaka,2011,32.55,31.12,32.51105676763027,32.18094529926777,32.5349268306138
2012-09-01,Dhaka,2011,32.91,32.42,32.465552052919776,32.40960723340511,32.547185628647206
2012-10-01,Dhaka,2011,32.34,32.65,32.24141899057995,32.1312606137991,32.333378845090365
2012-11-01,Dhaka,2011,28.74,29.71,30.075550892773894,29.9011416888237,30.16778218916406
2012-12-01,Dhaka,2011,23.96,24.98,26.146850446839164,25.974871975481513,26.228533375635642
2013-01-01,Dhaka,2011,24.23,24.05,23.90383732607693,23.613768846243623,23.945176248215425
2013-02-01,Dhaka,2011,28.91,28.51,28.099405606270317,28.873561601638798,28.08841708603737
2013-03-01,Dhaka,2011,33.39,33.0,32.623374098243886,32.737088925242425,32.58307793868972
2013-04-01,Dhaka,2011,34.22,33.51,34.37913216555087,34.57310267388821,34.339250401593695
2013-05-01,Dhaka,2011,31.73,34.63,33.97555186384933,33.34000850081444,33.96860050975588
2013-06-01,Dhaka,2011,33.7,33.2,32.1452621676842,31.93837095081806,32.06204372907187
2013-07-01,Dhaka,2011,32.68,32.56,32.20293012515918,32.00206638395787,32.12518860083852
2013-08-01,Dhaka,2011,32.04,32.55,32.52046115881531,32.134875242710116,32.46521357208503
2013-09-01,Dhaka,2011,32.63,32.91,32.33975924106356,32.15964383542538,32.298597700971115
2013-10-01,Dhaka,2011,31.51,32.34,32.10728673634815,31.671363396644594,32.07698329690341
2013-11-01,Dhaka,2011,30.18,28.74,29.64771066906243,28.860536821484565,29.619813191733698
2013-12-01,Dhaka,2011,26.25,23.96,26.346329181686453,26.30134706735611,26.371424987703797
2014-01-01,Dhaka,2011,24.29,24.23,24.826647986733683,24.776889396309855,24.91336109945547
2014-02-01,Dhaka,2011,27.17,28.91,28.493307795382695,28.512510481476784,28.552847363562023
2014-03-01,Dhaka,2011,32.4,33.39,32.22237562232605,31.721440537571908,32.212061452217576
2014-04-01,Dhaka,2011,36.44,34.22,33.88578157386189,34.32540445506573,33.82807058825421
2014-05-01,Dhaka,2011,35.18,31.73,34.3757244769427,34.02028218865395,34.376952117671216
2014-06-01,Dhaka,2011,33.23,33.7,33.62414199597116,32.993751283288006,33.74881187336455
2014-07-01,Dhaka,2011,32.87,32.68,32.54656586009956,32.545773473978045,32.663055466298516
2014-08-01,Dhaka,2011,32.16,32.04,32.652925510670464,32.64727896153927,32.790898167459325
2014-09-01,Dhaka,2011,32.86,32.63,32.4670372256055,32.59208585202694,32.625476940493904
2014-10-01,Dhaka,2011,32.2,31.51,32.17577521415347,32.22977834761143,32.33563936072435
2014-11-01,Dhaka,2011,30.22,30.18,29.966337626974386,30.350263501405717,30.14394335095247
2014-12-01,Dhaka,2011,24.52,26.25,26.450242098009895,27.07007907420397,26.615830349675175
2015-01-01,Dhaka,2014,24.77,24.29,24.197627855091785,24.21637432575226,24.212613173857466
2015-02-01,Dhaka,2014,28.42,27.17,28.40571635702762,27.96426908224821,28.40239213393498
2015-03-01,Dhaka,2014,32.11,32.4,32.672032027234785,32.94826859295368,32.67509793743427
2015-04-01,Dhaka,2014,32.82,36.44,34.175280947894564,35.35598019778729,34.1346034174562
2015-05-01,Dhaka,2014,34.07,35.18,33.28921152434086,34.51364962279797,33.124436130100015
2015-06-01,Dhaka,2014,32.75,33.23,32.869918933519386,33.20015036940575,32.672839405112605
2015-07-01,Dhaka,2014,31.73,32.87,32.18886445953218,32.34299252867699,31.998107483438886
2015-08-01,Dhaka,2014,32.62,32.16,32.09927504945523,32.015786521434784,31.89091312183292
2015-09-01,Dhaka,2014,32.86,32.86,32.50564813944787,32.41622717559338,32.32270476098219
2015-10-01,Dhaka,2014,32.39,32.2,32.174115192725715,32.026245854496956,32.00686168714212
2015-11-01,Dhaka,2014,30.23,30.22,30.039401001866,29.98773211300373,29.902807088905156
2015-12-01,Dhaka,2014,25.94,24.52,26.256286975278307,26.74432216703892,26.145388757443254
2016-01-01,Dhaka,2014,24.87,24.77,24.73751770384769,25.05981312647462,24.688362917780175
2016-02-01,Dhaka,2014,29.8,28.42,28.591962908188815,27.45604233622551,28.53754746524812
2016-03-01,Dhaka,2014,33.11,32.11,33.14153765009305,31.8464635014534,33.12703804876683
2016-04-01,Dhaka,2014,35.14,32.82,34.54641100724228,33.9056070548296,34.57369862239001
2016-05-01,Dhaka,2014,33.68,34.07,34.28511598763677,34.25029006063939,34.37444848409081
2016-06-01,Dhaka,2014,33.93,32.75,33.01120290591426,33.04679422855377,33.07806056978263
2016-07-01,Dhaka,2014,32.23,31.73,32.591428998984235,32.6717156791687,32.67869654477879
2016-08-01,Dhaka,2014,33.28,32.62,32.45140882428693,32.34266943335533,32.54691101639301
2016-09-01,Dhaka,2014,32.87,32.86,32.854459970393144,32.696591385006904,32.94968160550275
2016-10-01,Dhaka,2014,33.07,32.39,32.29767688797358,32.11262819826603,32.39068050257303
2016-11-01,Dhaka,2014,29.6,30.23,30.32017854798685,30.521980763077735,30.42834545812697
2016-12-01,Dhaka,2014,27.76,25.94,26.102897509939762,27.072364007830622,26.197094984098694
