station,origin,model,MAE,RMSE,MAPE,MASE,R2,ACF1
Dhaka,2011,SNAIVE,0.8247222222222214,1.0050386946669152,2.6691047765869396,0.8045567298271938,0.9129913958737715,0.08795244162881863
Dhaka,2011,SARIMA,0.7088677531282144,0.9355701011340183,2.3701054513548576,0.6915350477643767,0.924603826637141,0.21868405278365763
Dhaka,2011,SVR,0.7458508425445617,0.9281128493454175,2.4413284822735637,0.727613854273977,0.9258009736193333,0.19506066492603003
Dhaka,2011,XGB,0.8451688024732802,1.0304392795475548,2.762295441227264,0.8245033655545728,0.9085378414887286,0.29269564116160296
Dhaka,2011,ANN,0.8061871025588343,0.962085984265006,2.6560117390115403,0.7864748170794709,0.9202695139448919,0.2137275117331936
Dhaka,2011,SARIMA+SVR,0.696833352361337,0.9327139700410901,2.3415590758135614,0.6797949031853455,0.9250634664976142,0.21066044433872771
Dhaka,2011,SARIMA+XGB,0.7023356343172528,0.9308999394082801,2.339679638123842,0.6851626474485114,0.9253546704034226,0.207132831173332
Dhaka,2011,SARIMA+ANN,0.7035796443340953,0.9247409524558655,2.3146061247794965,0.6863762398606646,0.9263391344370817,0.13253023942939188
Dhaka,2014,SNAIVE,1.0919444444444444,1.4830514713477299,3.5905851896662497,1.0785693287604117,0.7065812492100247,0.2990386834103061
Dhaka,2014,SARIMA,0.6300069355152565,0.8304501897799409,2.0526103284252777,0.6222900450753344,0.9079968720255973,0.2024503579056568
Dhaka,2014,SVR,0.6835696707717701,0.8741746979657782,2.22722167516052,0.6751966958725569,0.8980536033688258,0.20747563464513483
Dhaka,2014,XGB,0.6941179932488335,0.8801923527900829,2.2405701347786846,0.6856158130277553,0.8966452126626702,0.18555331494401764
Dhaka,2014,ANN,0.8071381967394062,1.0969010479424497,2.642760312807563,0.7972516436191295,0.8394869606031643,0.33063659994247846
Dhaka,2014,SARIMA+SVR,0.6276782942689556,0.8267220851956701,2.0412786289771025,0.6199899271172047,0.9088210692763177,0.21154979344908326
Dhaka,2014,SARIMA+XGB,0.6206941481374636,0.8230320231093594,2.0211162956306556,0.6130913290764952,0.9096332044261731,0.20534535658619235
Dhaka,2014,SARIMA+ANN,0.7315699537637017,0.9410997329901106,2.3834894903557906,0.722609028313387,0.8818464659974736,0.3023504625714972
Dhaka,2017,SNAIVE,0.9722222222222227,1.232186403647327,3.2710078934506504,0.9657658983462415,0.8449934828884267,0.17456797284143938
Dhaka,2017,SARIMA,0.7852120765435928,0.927783750788597,2.5975032292491487,0.7799976478238815,0.9121198767300395,0.3134128389530817
Dhaka,2017,SVR,0.8179260403447098,0.9838299893619415,2.6830318628788157,0.8124943650524151,0.901181729922765,0.22395415055089435
Dhaka,2017,XGB,0.8487307824028864,1.0702601789490587,2.756169530517224,0.8430945392791868,0.8830565593247226,0.3864824844841829
Dhaka,2017,ANN,0.8398309905442621,1.0247862040598652,2.733972789910087,0.834253849071764,0.8927829944284541,0.30148018925100184
Dhaka,2017,SARIMA+SVR,0.7722947646965301,0.9247788925805093,2.5721091459575343,0.7671661171356787,0.9126881981426812,0.2831193367976882
Dhaka,2017,SARIMA+XGB,0.7821724058881924,0.9244701957593664,2.5865085840314013,0.7769781629838008,0.9127464788352465,0.3100849777112439
Dhaka,2017,SARIMA+ANN,0.7995914359065671,0.9560691882274066,2.6094733427176644,0.7942815168770743,0.9066797748882335,0.29876811108538925
Dhaka,2020,SNAIVE,0.9244444444444448,1.1775799100037523,2.9188014037563117,0.9209747997993674,0.8646352233677441,0.3191584606382471
Dhaka,2020,SARIMA,0.8291412533686054,1.0291441443762344,2.538177620774162,0.8260293026969866,0.8966102917021588,0.08630418088064465
Dhaka,2020,SVR,0.9424363366189937,1.1302805533193074,2.9338510769507593,0.9388991644197042,0.8752911120876947,0.12463130881635014
Dhaka,2020,XGB,1.041779727935791,1.178173509771247,3.242654410308067,1.0378696979971558,0.8644987184028113,0.08871647877862929
Dhaka,2020,ANN,0.8995936261940768,1.0730923232691705,2.82586254253966,0.8962172521711403,0.8875915210164191,0.12858981239288503
Dhaka,2020,SARIMA+SVR,0.7478394535814128,0.9489109446807331,2.2910809340379212,0.745032646562246,0.9121026449192838,0.08349171496177842
Dhaka,2020,SARIMA+XGB,0.8352456256163485,1.0298469646657074,2.5607989385636474,0.8321107638843537,0.8964690302530361,0.0743916577513139
Dhaka,2020,SARIMA+ANN,0.9843682863643536,1.1652889207381762,3.0490636027923324,0.9806737342751572,0.867446216013058,0.06602098291374667
Chittagong,2011,SNAIVE,0.6350000000000001,0.871467472459848,2.1187643867554744,0.7516693646297047,0.8397337297530504,0.09559842503316951
Chittagong,2011,SARIMA,0.6675258318393857,0.8496391272175282,2.3007692496046346,0.7901712092797262,0.8476618157189796,0.2529496708721024
Chittagong,2011,SVR,0.6101606830607449,0.8010983049127268,2.0533268834881846,0.7222662881233018,0.864571087140282,0.14427498326784705
Chittagong,2011,XGB,0.5350089412265353,0.7174907831657776,1.8279491575863303,0.6333068203511193,0.8913643368719444,-0.006906385779258964
Chittagong,2011,ANN,0.6787510288749866,0.8685828629884937,2.284269184233335,0.8034588261672747,0.8407929556819107,0.17038004013252314
Chittagong,2011,SARIMA+SVR,0.6896932614791509,0.8607780876316645,2.3676952132083207,0.8164114892053891,0.8436412562881273,0.237500975252285
Chittagong,2011,SARIMA+XGB,0.6776495652997219,0.8648426661186369,2.337253472929217,0.8021549892762795,0.842161123647013,0.2557791546506287
Chittagong,2011,SARIMA+ANN,0.6249269611689736,0.8131922842987039,2.1460803486352127,0.7397455934517393,0.8604511489015649,0.19095796605248627
Chittagong,2014,SNAIVE,1.1336111111111107,1.298733357288298,3.6383112789392364,1.3534693104020084,0.6249144207878813,0.019268068438402786
Chittagong,2014,SARIMA,0.868241880890939,1.0084079517557043,2.774516188559019,1.036633046618419,0.7738675438114573,0.00921785263852269
Chittagong,2014,SVR,0.9587742915017421,1.175298653662333,3.1017817885398773,1.144723764993907,0.6928243018556082,0.23708238365082512
Chittagong,2014,XGB,0.8897117190890845,1.0558843538916702,2.8488924531806927,1.0622668524409509,0.7520734221842551,-0.006357584156631569
Chittagong,2014,ANN,1.0218298896146405,1.2089073757569337,3.273321989294146,1.2200086806570933,0.6750051857253818,0.0968114172714589
Chittagong,2014,SARIMA+SVR,0.8428066566704309,0.9877669937594362,2.6951977099835864,1.0062647880081899,0.7830301459122774,0.02588386372816719
Chittagong,2014,SARIMA+XGB,0.8534331819542769,0.9937815790950804,2.7273592196557135,1.0189522746664665,0.7803798107999285,0.0231583765660016
Chittagong,2014,SARIMA+ANN,0.9854666538517038,1.1469937880745622,3.1408795921059225,1.1765929773796193,0.7074416429824708,0.030737349314751156
Chittagong,2017,SNAIVE,0.852222222222222,1.066484359420657,2.8666253838984095,1.0105845667354731,0.8106216896991106,0.2247056748873603
Chittagong,2017,SARIMA,0.6168527526168384,0.78880560000262,2.0702801932365755,0.7314780763606058,0.8963996491269581,0.3210739901521103
Chittagong,2017,SVR,0.7151990659249552,0.8475721996616425,2.369095273489507,0.8480993798574283,0.8803880246027638,0.3258268381593866
Chittagong,2017,XGB,0.8832265514797634,1.009862213823927,2.885080133929595,1.047350208175748,0.8301969444933817,0.4294427656350424
Chittagong,2017,ANN,0.8944917361059095,0.9971431796171878,2.8818428691141538,1.0607087212815474,0.8344472870247421,0.2647009094004122
Chittagong,2017,SARIMA+SVR,0.6097787380929182,0.7886252117860949,2.0532219632529674,0.7230895484434445,0.8964470274560621,0.31328214330830595
Chittagong,2017,SARIMA+XGB,0.6175718021871961,0.790233829832439,2.0733687024211487,0.7323307417565239,0.8960241470614599,0.32036761482592907
Chittagong,2017,SARIMA+ANN,0.7212274851368836,0.8592603394938285,2.377535410177862,0.855248016983436,0.8770663463103009,0.37790468852859727
Chittagong,2020,SNAIVE,0.7275000000000005,0.9128694077224608,2.3738743373007227,0.862985769302058,0.8354941252014517,0.3059319603155021
Chittagong,2020,SARIMA,0.6964202754515166,0.8390729901534315,2.1997175896683445,0.8261179205059488,0.8610163898792318,-0.04017857753372456
Chittagong,2020,SVR,0.6789705270279142,0.8730985743098119,2.1206413312608423,0.8054184228187049,0.8495158831684939,0.027490316504527396
Chittagong,2020,XGB,1.0887544483608673,1.2541380131601627,3.4072219378133948,1.2915183439171685,0.6895048871133919,0.03760541277722429
Chittagong,2020,ANN,0.7958860042900765,1.0342228837562244,2.5182749620139466,0.9441076229402229,0.7888493650969932,0.3004740893697804
Chittagong,2020,SARIMA+SVR,0.674683882283258,0.8173436825014191,2.1343434574940807,0.800333455928407,0.8681216435524213,-0.06343959891162142
Chittagong,2020,SARIMA+XGB,0.6720539496492436,0.8155857517555513,2.128115227117846,0.7972137384887128,0.8686883175500386,-0.030841440152642563
Chittagong,2020,SARIMA+ANN,0.7888024956210461,0.9345657346032851,2.4793409475360613,0.9357049189153418,0.8275815195534812,-0.019220571400804916
Barisal,2011,SNAIVE,0.746111111111111,0.9909731468499927,2.3923366642312267,0.9114591490472459,0.8914695185527032,0.13386558202764684
Barisal,2011,SARIMA,0.6715818401749004,0.9181778613499305,2.2719903743459957,0.8204132111768555,0.9068288209835984,0.28025390875141665
Barisal,2011,SVR,0.6972691213421613,0.8919056683671017,2.2651218306451324,0.8517931317883881,0.9120844281884135,0.2291257033146998
Barisal,2011,XGB,0.7732532437642419,0.9598522804969823,2.4847923762801436,0.9446163353737018,0.8981791403861449,0.2829018954072168
Barisal,2011,ANN,0.7145287961182265,0.9066664051504237,2.3283161451085537,0.8728777775602453,0.9091504029940755,0.22392972145511167
Barisal,2011,SARIMA+SVR,0.672337311839487,0.9163027475068987,2.278171040643392,0.8213361053011743,0.9072089830000615,0.2693700449326488
Barisal,2011,SARIMA+XGB,0.665456302584013,0.910314096364894,2.2467050452863666,0.8129301738692719,0.9084179221169063,0.28073638209924767
Barisal,2011,SARIMA+ANN,0.6587282083092227,0.8779328610518702,2.1890681600031385,0.8047110453894968,0.9148174636875783,0.21934483263060142
Barisal,2014,SNAIVE,0.8977777777777773,1.2672213697693073,2.964943981452796,1.0953014935489331,0.7436294174072362,0.2761103516321951
Barisal,2014,SARIMA,0.5204340651212331,0.6551619700205418,1.6662373154795467,0.6349368662610478,0.9314731806712128,0.03989089284292327
Barisal,2014,SVR,0.6394520181934182,0.7743255998323262,2.064928733818501,0.7801404400026211,0.9042782897486749,0.09432126781727675
Barisal,2014,XGB,0.6763876385158964,0.85452336328199,2.1612949849865353,0.8252024153663958,0.8834234773794366,0.1465060206236502
Barisal,2014,ANN,0.691566155213896,0.9154439816805466,2.2839556536235635,0.8437204188419636,0.8662090424522997,0.24887199777377442
Barisal,2014,SARIMA+SVR,0.515372791615886,0.6632028965598021,1.6510902168993684,0.6287620415250333,0.9297807732165609,0.042335690486648335
Barisal,2014,SARIMA+XGB,0.507749377530748,0.6456850256730424,1.625714983149802,0.6194613693096197,0.9334413287146962,0.047019933027677076
Barisal,2014,SARIMA+ANN,0.5742917324643961,0.7081704408868136,1.8370728747950433,0.7006439765729603,0.91993571956405,0.09417274262207015
Barisal,2017,SNAIVE,0.7980555555555563,1.0156675418440606,2.627943059217301,0.9817075948790388,0.8661893785528959,0.05145347001302956
Barisal,2017,SARIMA,0.6196656868736329,0.7366845692928907,2.041753200436052,0.7622658684034849,0.929603577924726,0.2658887057124358
Barisal,2017,SVR,0.6101844891540269,0.7397050970650081,1.9839342396666806,0.7506028159441764,0.9290251206726029,0.18332366192589622
Barisal,2017,XGB,0.689174156188965,0.8648287025645035,2.2150279107331956,0.8477699310721244,0.9029830471605306,0.21596446253311144
Barisal,2017,ANN,0.6617969196117326,0.8048649945791367,2.1341796899142236,0.8140925249221733,0.9159701634264956,0.22742716458955137
Barisal,2017,SARIMA+SVR,0.6360472698131638,0.7522517686564993,2.094001008438877,0.7824172529479897,0.9265969889769581,0.26205584834591705
Barisal,2017,SARIMA+XGB,0.6242694446376769,0.7453385557610079,2.0558723940778916,0.7679290630651636,0.9279399406887675,0.2109819748559945
Barisal,2017,SARIMA+ANN,0.6681247798371794,0.7938339919275328,2.1658287327603984,0.8218765800539363,0.9182577057016832,0.301974513849115
Barisal,2020,SNAIVE,0.7052777777777771,0.9182365345232851,2.254594333827224,0.8666083580433894,0.8846942035879517,0.4430596998094656
Barisal,2020,SARIMA,0.6289688414928887,0.7439537402086696,1.9824102719150578,0.7728439377517843,0.924310808514059,0.07768071629286201
Barisal,2020,SVR,0.6899698721721845,0.8596431816235497,2.1784661448940716,0.8477988061761169,0.8989401966537148,0.18000413250306782
Barisal,2020,XGB,0.9229970084296334,1.0771312202454393,2.8883647262915946,1.1341303343973994,0.8413356960099785,0.16928741504108266
