station,lat,lon,zone,coastal,mean_T,seasonal_amplitude,anomaly_sd,anomaly_acf1,anomaly_acf12,trend_per_decade,summer_interannual_sd,SARIMA_MAE,best_hybrid_MAE,hybrid_gain,hybrid_gain_pct,SNAIVE_MAE,skill_vs_snaive
Dhaka,23.81,90.41,Central,0,30.6640625,8.754749999999998,1.0221026492865073,0.4124843206728849,0.10616157135101026,0.17618403291680929,0.8484135931254286,0.7383070046389171,0.7111614662270589,0.027145538411858183,3.6767277353862053,0.9533333333333334,22.555209303610102
Chittagong,22.36,91.78,SE coastal,1,30.327479166666663,6.237750000000002,0.8997168743949294,0.517219433126209,0.27701582987227646,0.24730751869582765,0.5848448971187982,0.7122601851996698,0.7015005651416275,0.010759620058042318,1.5106305647319098,0.8370833333333334,14.911675237471012
Barisal,22.7,90.35,S coastal,1,30.55722916666667,7.974250000000001,0.8266845994278026,0.353613552631192,0.13128284856155956,0.2544121068233804,0.6405684043168024,0.6101626084156639,0.6102420824444013,-7.947402873731413e-05,-0.013025057196420935,0.7868055555555554,22.450648180180387
Bogra,24.85,89.31,NW inland,0,30.685645833333336,9.454,1.1160138883347996,0.2531921121962186,0.0330574856740826,0.07271392236945474,0.8462469558328766,0.7973925511265931,0.7924093072932089,0.004983243833384221,0.6249423607411009,1.0896527777777776,26.821408857160524
Comilla,23.46,91.18,East,0,30.21910416666667,7.363250000000001,0.8800364358323377,0.35985456958279155,0.1001872401758171,0.21605803410605087,0.6896811292881325,0.702307394349456,0.6948623290304382,0.007445065319017785,1.0600864206924823,0.9531944444444442,26.320658031238754
Cox's Bazar,21.45,92.02,SE coastal,1,30.43102083333333,5.712,0.9558819201672946,0.6557082221836088,0.43437532324355643,0.5462243108694047,0.8323428833604388,0.6297630944680435,0.608156054954186,0.02160703951385745,3.4309789988739765,0.8571527777777773,26.528489343434902
Faridpur,23.61,89.84,Central,0,30.51470833333333,9.898249999999997,0.9660065007539835,0.3278702252240033,0.07448939192071975,0.24168308022170226,0.7791512476192709,0.746791126077445,0.7427248058081263,0.004066320269318746,0.5445057027762611,0.9640972222222222,22.539852945939575
Jessore,23.17,89.21,SW,0,31.584041666666668,10.105999999999998,1.0380609533151195,0.3888756698542047,0.18183662237546525,0.346856453370023,0.8343175854153693,0.7151126109848653,0.6998673932208662,0.01524521776399912,2.131862524841108,0.9146527777777776,21.81594717043457
Khulna,22.84,89.54,SW/coastal,1,31.178041666666665,9.23525,0.869827227103428,0.3182266019830756,0.1592611580604843,0.16007452289289448,0.6582928947333476,0.6902313172341548,0.6865575970252205,0.0036737202089343057,0.5322447876829717,0.9167212500000004,24.706521504311752
Rajshahi,24.37,88.6,NW inland,0,31.13239583333333,11.564250000000001,1.0568753948355352,0.28821142787354664,0.07127607347384958,0.15079967794999116,0.8685946872789579,0.8838456067534226,0.8622557082935414,0.02158989845988124,2.442722834725188,1.1049305555555555,20.008945149586545
Rangamati,23.14,92.14,E hilly,0,30.527041666666666,7.5042500000000025,1.0479352350145348,0.5014935645506844,0.18676211296559264,0.38600883684390996,0.8379900403300197,0.7710428628173501,0.757544600701489,0.013498262115861137,1.7506500308606965,1.0754861111111111,28.30750161703467
Rangpur,25.75,89.25,NW inland,0,29.609604166666667,8.940749999999998,1.1592917151404643,0.38525467564567717,-0.05888922321654112,-0.026767759408677875,0.818871917914345,0.9043568962700762,0.8939909879615533,0.010365908308522909,1.1462187496193146,1.1716666666666669,22.814489649780135
Sylhet,24.89,91.86,NE wet,0,29.88379166666667,6.599499999999999,1.1468318891825118,0.35918007079966247,0.06472765605168293,0.4586638396868042,0.8668400744910161,0.8784410540566164,0.8674786743397817,0.01096237971683478,1.2479357227455177,1.272708333333333,30.978604362878382
Srimongal,24.3,91.72,NE wet,0,30.4818125,7.719749999999998,1.0037347975642452,0.23567613407329427,0.008885138587710856,0.12296804673631401,0.6940887657523278,0.7840899870200873,0.7572115640240707,0.026878422996016504,3.4279768191106768,1.086180555555556,27.812187116621367
Bhola,22.68,90.65,S coastal,1,30.356666666666666,7.3565000000000005,0.7605711099964086,0.29283881686795316,0.04346462433022536,0.1159938628205853,0.5618958828582719,0.7247574559702078,0.7006947920934046,0.024062663876803225,3.320098838388819,0.8954166666666666,19.059195238320203
Mymensingh,24.75,90.42,Central-N,0,29.919270833333332,7.727499999999999,0.9445267977180508,0.26040662584200475,-0.0489148757537155,-0.04816108142830471,0.713351874908798,0.7892946087711942,0.7638513855405917,0.02544322323060244,3.2235394677550735,0.995625,20.723705333715593
