date,station,model,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95,observed,error,snaive
2024-01-01,Dhaka,SARIMA+SVR,25.35656822737769,23.32265255370362,27.39773318492571,25.35434438377501,23.53302864104479,27.17566012650524,23.08,-2.276568227377691,25.08
2024-02-01,Dhaka,SARIMA+SVR,28.98862384432038,26.95470817064631,31.0297888018684,28.929364821694197,27.01595850520085,30.84277113818754,28.51,-0.47862384432037786,29.32
2024-03-01,Dhaka,SARIMA+SVR,33.21259631729338,31.178680643619312,35.2537612748414,32.99495596154101,31.047234245811232,34.94267767727079,31.82,-1.392596317293382,32.35
2024-04-01,Dhaka,SARIMA+SVR,34.59282395280268,32.558908279128616,36.6339889103507,34.62966904714079,32.66888794959481,36.59045014468676,37.02,2.427176047197321,36.36
2024-05-01,Dhaka,SARIMA+SVR,34.474478280999286,32.44056260732522,36.515643238547305,34.22744455510867,32.2616556288232,36.19323348139414,34.93,0.45552171900071414,35.44
2024-06-01,Dhaka,SARIMA+SVR,33.455044622695304,31.421128949021234,35.496209580243324,33.40949236120358,31.44177762744524,35.377207094961925,34.19,0.7349553773046935,34.2
2024-07-01,Dhaka,SARIMA+SVR,33.05073725179172,31.016821578117646,35.091902209339736,32.92590840594906,30.95745228163603,34.89436453026209,33.85,0.7992627482082781,34.41
2024-08-01,Dhaka,SARIMA+SVR,33.26632590333113,31.23241022965706,35.30749086087915,33.03442821292458,31.065686556295173,35.00316986955399,32.27,-0.996325903331126,32.73
2024-09-01,Dhaka,SARIMA+SVR,33.43230811484491,31.39839244117084,35.47347307239293,33.22115015274515,31.252298523231488,35.19000178225882,33.53,0.09769188515509342,34.03
2024-10-01,Dhaka,SARIMA+SVR,32.80399712464428,30.770081450970213,34.8451620821923,32.58379182695008,30.614897869969067,34.55268578393108,32.77,-0.03399712464428006,32.81
2024-11-01,Dhaka,SARIMA+SVR,30.513243952017845,28.479328278343772,32.554408909565865,30.385526198959067,28.416616031294573,32.35443636662356,31.27,0.7567560479821545,30.92
2024-12-01,Dhaka,SARIMA+SVR,26.610327890126328,24.57641221645226,28.651492847674348,26.51742218569681,24.54850602033037,28.486338351063253,27.18,0.5696721098736717,26.74
2025-01-01,Dhaka,SARIMA+SVR,25.352400045586208,23.318484371912135,27.393565003134228,25.230330633146004,23.25548642317332,27.20517484311869,25.39,0.0375999544137926,25.08
2025-02-01,Dhaka,SARIMA+SVR,28.96728275631388,26.93336708263981,31.0084477138619,28.861612576737794,26.886131255107408,30.83709389836818,29.6,0.6327172436861197,29.32
2025-03-01,Dhaka,SARIMA+SVR,33.08602359819665,31.052107924522577,35.12718855574467,32.96212387839424,30.98639717162681,34.93785058516167,33.73,0.64397640180335,32.35
2025-04-01,Dhaka,SARIMA+SVR,34.76877212674135,32.73485645306728,36.809937084289366,34.61851106756149,32.642689837218974,36.59433229790401,34.56,-0.20877212674134427,36.36
2025-05-01,Dhaka,SARIMA+SVR,34.37966117728387,32.345745503609805,36.42082613483189,34.22973916970734,32.253881526752075,36.2055968126626,34.25,-0.1296611772838716,35.44
2025-06-01,Dhaka,SARIMA+SVR,33.631094045004566,31.597178371330497,35.672259002552586,33.42013667707379,31.444265007559025,35.39600834658856,33.47,-0.16109404500456748,34.2
2025-07-01,Dhaka,SARIMA+SVR,33.175956196014454,31.142040522340384,35.21712115356247,32.94173518034004,30.96585810937017,34.91761225130991,32.5,-0.6759561960144538,34.41
2025-08-01,Dhaka,SARIMA+SVR,33.30266695982649,31.26875128615242,35.34383191737451,33.053471614527254,31.0775924681387,35.02935076091581,32.85,-0.4526669598264874,32.73
2025-09-01,Dhaka,SARIMA+SVR,33.482143332480106,31.44822765880604,35.523308290028126,33.24219003740263,31.266310105569005,35.218069969236254,33.66,0.17785666751989027,34.03
2025-10-01,Dhaka,SARIMA+SVR,32.81051922020801,30.776603546533934,34.85168417775603,32.606070880564914,30.6301906827113,34.58195107841853,33.2,0.38948077979199525,32.81
2025-11-01,Dhaka,SARIMA+SVR,30.57621153581344,28.54229586213937,32.61737649336146,30.4085743749069,28.43269416948403,32.38445458032977,30.69,0.11378846418656252,30.92
2025-12-01,Dhaka,SARIMA+SVR,26.66957802662857,24.6356623529545,28.71074298417659,26.540947737356483,24.56506777538967,28.516827699323294,25.96,-0.7095780266285701,26.74
2024-01-01,Chittagong,SARIMA+LSTM,27.12692620348858,25.448799776695576,28.801757588356324,27.096529776427573,25.59991250856731,28.59314704428784,24.83,-2.2969262034885816,27.1
2024-02-01,Chittagong,SARIMA+LSTM,29.49657787315516,27.81845144636216,31.171409258022905,29.468399212311358,27.875146444025265,31.061651980597446,28.7,-0.7965778731551616,28.91
2024-03-01,Chittagong,SARIMA+LSTM,32.07749973080149,30.39937330400849,33.75233111566924,32.04237281902248,30.42823294191167,33.65651269613329,31.73,-0.3474997308014913,32.1
2024-04-01,Chittagong,SARIMA+LSTM,33.11569147117939,31.437565044386385,34.79052285604713,33.091664013767776,31.468566644789565,34.71476138274599,34.85,1.7343085288206126,34.13
2024-05-01,Chittagong,SARIMA+LSTM,33.44261290364331,31.764486476850305,35.11744428851105,33.44392665911504,31.814664016282723,35.073189301947345,34.09,0.6473870963566952,33.24
2024-06-01,Chittagong,SARIMA+LSTM,32.608000996320484,30.92987456952748,34.28283238118823,32.597477604266345,30.9629606728982,34.23199453563449,33.2,0.5919990036795184,32.88
2024-07-01,Chittagong,SARIMA+LSTM,32.03094270859866,30.35281628180565,33.7057740934664,32.02944285674637,30.3900946661506,33.66879104734215,32.57,0.5390572914013418,33.69
2024-08-01,Chittagong,SARIMA+LSTM,32.26767739787183,30.589550971078825,33.94250878273957,32.29925032061669,30.655349446385724,33.94315119484766,30.6,-1.6676773978718273,31.26
2024-09-01,Chittagong,SARIMA+LSTM,32.746726606247705,31.0686001794547,34.42155799111545,32.73922428795436,31.09100015132335,34.387448424585365,32.92,0.17327339375229656,33.1
2024-10-01,Chittagong,SARIMA+LSTM,32.62642246210616,30.948296035313152,34.3012538469739,32.63518251294113,30.9828436644102,34.28752136147206,33.03,0.4035775378938382,32.26
2024-11-01,Chittagong,SARIMA+LSTM,30.96513184708672,29.287005420293717,32.63996323195446,30.96268714808864,29.3064325095083,32.618941786668984,31.49,0.5248681529132782,31.21
2024-12-01,Chittagong,SARIMA+LSTM,28.051047465417305,26.372921038624305,29.72587885028505,28.05770535633268,26.39774623034882,29.71766448231654,28.71,0.6589525345826956,28.1
2025-01-01,Chittagong,SARIMA+LSTM,27.046577997470315,25.368451570677312,28.72140938233806,27.052326035578638,25.386933802944498,28.71771826821277,27.02,-0.02657799747031575,27.1
2025-02-01,Chittagong,SARIMA+LSTM,29.417516104817437,27.73938967802443,31.092347489685174,29.42469672366763,27.75521802121042,31.09417542612484,29.8,0.3824838951825633,28.91
2025-03-01,Chittagong,SARIMA+LSTM,31.9914324798612,30.3133060530682,33.66626386472895,31.999871957557424,30.326844259968983,33.67289965514586,32.0,0.008567520138800688,32.1
2025-04-01,Chittagong,SARIMA+LSTM,33.04081478029788,31.362688353504875,34.71564616516562,33.0505518605723,31.374238768335346,34.72686495280926,33.02,-0.020814780297875757,34.13
2025-05-01,Chittagong,SARIMA+LSTM,33.39353996424776,31.715413537454754,35.0683713491155,33.40423657679226,31.724819272205284,35.08365388137923,33.43,0.03646003575224199,33.24
2025-06-01,Chittagong,SARIMA+LSTM,32.54811759761285,30.869991170819848,34.222948982480595,32.55919727318669,30.876828172742545,34.24156637363084,31.99,-0.5581175976128527,32.88
2025-07-01,Chittagong,SARIMA+LSTM,31.98081340743129,30.30268698063829,33.65564479229904,31.992546727260752,30.30736522530581,33.677728229215695,31.08,-0.9008134074312935,33.69
2025-08-01,Chittagong,SARIMA+LSTM,32.25153423012574,30.57340780333274,33.926365614993486,32.26370935348171,30.575846697667394,33.95157200929602,32.06,-0.19153423012573967,31.26
2025-09-01,Chittagong,SARIMA+LSTM,32.69306652188749,31.014940095094484,34.36789790675523,32.70500887040099,31.01458998368213,34.39542775711985,32.91,0.21693347811250874,33.1
2025-10-01,Chittagong,SARIMA+LSTM,32.589655146054014,30.91152871926101,34.26448653092176,32.6022633243518,30.90940823624323,34.29511841246036,33.4,0.8103448539459848,32.26
2025-11-01,Chittagong,SARIMA+LSTM,30.918151651077302,29.2400252242843,32.592983035945046,30.93103540979261,29.235863112638317,32.62620770694691,31.15,0.23184834892269635,31.21
2025-12-01,Chittagong,SARIMA+LSTM,28.01390359463648,26.33577716784348,29.688734979504225,28.027292896566696,26.32994282862013,29.72464296451326,27.55,-0.4639035946364807,28.1
2024-01-01,Barisal,SARIMA,26.0615090294475,24.3302126372709,27.379402750133178,26.0615090294475,24.57123240015273,27.551785658742265,23.99,-2.071509029447501,26.33
2024-02-01,Barisal,SARIMA,29.35232363842098,27.62102724624438,30.67021735910666,29.35232363842098,27.820777938653663,30.88386933818829,29.06,-0.2923236384209815,29.94
2024-03-01,Barisal,SARIMA,33.047735242031635,31.31643884985504,34.36562896271731,33.047735242031635,31.505529836661392,34.589940647401875,32.16,-0.8877352420316384,32.53
2024-04-01,Barisal,SARIMA,34.375128676543525,32.64383228436692,35.6930223972292,34.375128676543525,32.830134778337474,35.92012257474958,36.54,2.164871323456474,35.42
2024-05-01,Barisal,SARIMA,34.23843758496982,32.50714119279323,35.556331305655505,34.23843758496982,32.692711882662834,35.78416328727681,34.85,0.6115624150301784,34.61
2024-06-01,Barisal,SARIMA,32.98941548381088,31.25811909163428,34.30730920449656,32.98941548381088,31.44349756769916,34.5353333999226,34.51,1.5205845161891176,33.53
2024-07-01,Barisal,SARIMA,32.14161604762325,30.410319655446653,33.45950976830893,32.14161604762325,30.59564763515267,33.68758446009384,32.74,0.59838395237675,33.4
2024-08-01,Barisal,SARIMA,32.248735202991405,30.51743881081481,33.56662892367709,32.248735202991405,30.70275352830283,33.79471687767998,31.06,-1.1887352029914062,31.83
2024-09-01,Barisal,SARIMA,32.62105787004509,30.889761477868493,33.93895159073077,32.62105787004509,31.07507272895412,34.167043011136066,33.17,0.5489421299549093,32.87
2024-10-01,Barisal,SARIMA,32.42823922784431,30.69694283566771,33.74613294852999,32.42823922784431,30.88225324469131,33.97422521099731,32.86,0.4317607721556911,32.45
2024-11-01,Barisal,SARIMA,30.51850675587649,28.78721036369989,31.83640047656217,30.51850675587649,28.97252081291216,32.06449269884083,30.8,0.28149324412351007,30.68
2024-12-01,Barisal,SARIMA,27.113631208810315,25.382334816633715,28.431524929495996,27.113631208810315,25.56764627142968,28.65961614619095,27.17,0.05636879118968707,27.27
2025-01-01,Barisal,SARIMA,26.03000947388759,24.29871308171099,27.347903194573263,26.03000947388759,24.481639518922904,27.578379428852276,25.78,-0.2500094738875873,26.33
2025-02-01,Barisal,SARIMA,29.349002613062016,27.617706220885417,30.66689633374769,29.349002613062016,27.80049695320244,30.89750827292159,29.44,0.09099738693798542,29.94
