station,model,MAE,RMSE,MAPE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10
Barisal,SNAIVE,0.7868055555555554,1.0562453155714664,2.559954509682137,0.9611720177499344,0.854364480725119,0.2125040644705817,0.75875,0.8008333333333332,0.9566666666666666,1.055333333333332
Barisal,SARIMA,0.6101626084156639,0.7694899470166993,1.9905977905441636,0.7453826696385557,0.9227063853456241,0.23671250359772872,0.6123243658929961,0.6090817296769978,0.7056484383750568,0.8972023817409849
Barisal,ANN,0.7120521178222738,0.8912258858306402,2.3058851938261786,0.869852234771141,0.8963156280691587,0.29141447117076796,0.7460138338537314,0.695071259806545,0.7550293202757569,0.9177291147242935
Barisal,SVR,0.6592188752154476,0.8187224630723269,2.123112737256096,0.8053104505372735,0.9124993802088366,0.19749769983623033,0.661906093262577,0.657875266191883,0.7751351887503396,1.1012056578176892
Barisal,XGB,0.7654530208333336,0.943353998206396,2.4373700356454755,0.9350874804228663,0.8838318412728599,0.25598902298775883,0.6861186458333335,0.8051202083333336,0.8868751250000003,1.3987453333333326
Barisal,LSTM,0.7015695660297449,0.897420731032396,2.2678094955491392,0.8570466115946764,0.8948692137221355,0.33437787703788246,0.7461277507167927,0.6792904736862209,0.7706032866860429,0.9939627403418214
Barisal,SARIMA+ANN,0.6597660744496012,0.8113269385603529,2.129557976505856,0.8059789163205777,0.9140730277389513,0.2326352185734498,0.6425208778721642,0.6683886727383198,0.7436510654256839,1.0460137702257717
Barisal,SARIMA+SVR,0.6102420824444013,0.7717160399288221,1.9935680974439915,0.7454797561576083,0.9222585259484852,0.2275523362305331,0.6154871018389726,0.6076195727471156,0.7143858818106779,0.8416369341705813
Barisal,SARIMA+XGB,0.6117106731675567,0.7731038744416513,1.994251145788771,0.7472738059055507,0.9219786579385818,0.23325129701397676,0.6187857034194608,0.6081731580416047,0.7120475745863142,0.9337760976835867
Barisal,SARIMA+LSTM,0.6254391122501245,0.7811577634011541,2.0418115888838875,0.764044647697881,0.9203445998824316,0.24799224877549422,0.5921741651118856,0.642071585819244,0.7119465360831673,0.9213425053500004
Bhola,SNAIVE,0.8954166666666666,1.1351859857407605,2.914451985735396,1.1308694948186528,0.8176351360675798,0.2745174114185553,0.8462499999999994,0.9200000000000003,1.0810416666666667,1.2426666666666661
