station,model,MAE,RMSE,MAPE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10
Barisal,SNAIVE,0.8044444444444443,1.0533537708987737,2.6080818265904764,0.9827199164708951,0.8551607639230127,0.2353426836162154,0.75875,0.8272916666666665,1.085833333333333,1.286666666666666
Barisal,SARIMA,0.5714085430133332,0.7465734062756312,1.861462920674721,0.6980401935010178,0.9272416655906932,0.006983401432642788,0.6012469934815344,0.5564893177792326,0.6849461291214981,0.844673617591027
Barisal,ANN,0.6591738856765298,0.8434348816640725,2.1437089282104456,0.8052554907246565,0.9071374012975557,0.050021400766027936,0.72031360922171,0.6286040239039395,0.7856568538550138,0.9512685331162923
Barisal,SVR,0.6745237134228331,0.8504144107556865,2.200065953637541,0.8240070422393262,0.9055941430531246,0.1275556971804892,0.6858326806480547,0.6688692298102223,0.7596779584765209,1.0440984450946185
Barisal,XGB,0.6956854722222222,0.8755700169220874,2.2252675456130815,0.8498585251892455,0.8999264101334595,0.17806029916017674,0.6579529166666662,0.7145517500000004,0.8849228333333331,1.3767664666666666
Barisal,LSTM,0.6822709511763728,0.8353538009069916,2.21230643875497,0.833471169800424,0.9089083386434902,0.08663649394394572,0.7282766123410936,0.6592681205940125,0.7836574612930418,1.0377738966147112
Barisal,SARIMA+ANN,0.6005666024828239,0.7695100843735319,1.9493879557016591,0.7336600625475374,0.922702339784089,-0.02690924737677036,0.6245487351488425,0.5885755361498147,0.682477777504082,0.8151351646030733
Barisal,SARIMA+SVR,0.5696312556345778,0.7493566886729587,1.8581855666263196,0.6958690358574325,0.9266981571548395,0.015452322131200258,0.6074567097959697,0.5507185285538819,0.678705687991214,0.788360998202721
Barisal,SARIMA+XGB,0.559072946729197,0.7285981797862141,1.8240874453953941,0.6829708667952602,0.9307030882057623,0.0027850789579136623,0.5897746845498913,0.5437220778188498,0.666319834411523,0.8142113414005077
Barisal,SARIMA+LSTM,0.5827753453183405,0.7629739025180148,1.9000050655459417,0.7119260287365788,0.9240098882308772,0.016885363929156745,0.5947757306464846,0.5767751526542685,0.7009006235198019,0.8463257752622761
Bhola,SNAIVE,0.8963888888888888,1.140739282707101,2.920407038541824,1.1320973661485318,0.815846524558757,0.2665099795919299,0.8462499999999994,0.9214583333333334,1.16,1.4893333333333336
Bhola,SARIMA,0.6590697610436362,0.8144656205416199,2.1342793504979323,0.8323743743750587,0.9061244187586075,0.011666926980707383,0.6173409708251368,0.679934156152886,0.760122319267066,1.1044665253920711
Bhola,ANN,0.7041460272409079,0.9009356227867384,2.2865217761818073,0.8893035965801621,0.885133168043981,0.08619706234498918,0.6855321521912101,0.7134529647657569,0.8246300413592146,1.0678405271360585
Bhola,SVR,0.7448424599633174,0.9439683697943094,2.428499984331791,0.940701293347454,0.873897989820779,0.20788874842355703,0.6622249435181866,0.786151218185883,0.7991671517132449,1.293637412261835
Bhola,XGB,0.8065290347222223,1.0046371294596284,2.585937423866423,1.0186085606919257,0.8571679811895843,0.2792573997356344,0.6815021458333335,0.8690424791666667,0.963380125,1.7202806000000004
Bhola,LSTM,0.8331017204622427,1.0335076322093095,2.6988437411250996,1.0521686236407857,0.8488408290621889,0.21007515144670302,0.8253389893223844,0.836983086032172,0.9483530782908197,1.4576642595132194
Bhola,SARIMA+ANN,0.6381807034705486,0.8149427022964599,2.073306640287914,0.8059924687613793,0.906014409341549,-0.056681700332140865,0.6020036256364694,0.6562692423875882,0.7060069564236953,0.9348732892211004
Bhola,SARIMA+SVR,0.6461955766412193,0.8057944335505413,2.0961614747071216,0.816114879825374,0.9081126660604627,0.004888087678309891,0.6102266062896246,0.6641800618170165,0.7360563630918192,1.0262231399297255
Bhola,SARIMA+XGB,0.6573417516376985,0.8232589150350861,2.125933343741943,0.8301919790761088,0.904086440255542,0.012215564375610617,0.6257955351362704,0.6731148598884125,0.7523390045128769,1.1025131949423117
Bhola,SARIMA+LSTM,0.6339838708557822,0.8133762189711929,2.070306538699204,0.8006920648761497,0.9063753803899179,0.04063395564317606,0.6038550051887436,0.6490483036893014,0.732748791443025,0.9458657711835807
Bogra,SNAIVE,1.0521527777777777,1.4318075697057433,3.490933078676962,0.9303697615538675,0.8110385852109756,0.13151048458073275,1.004166666666667,1.0761458333333331,1.348541666666666,1.5643749999999992
